id,word2vec
258,"[0.14836370412792477,0.39412733912467957,0.2252644124839987,-0.20138549152761698,0.2358062642493418]"
259,"[0.1741383692249656,0.3050024386495352,0.23145680455490947,-0.043583867698907854,0.09365607933141291]"
261,"[0.19211142923450097,0.30345347663387656,0.2014629264594987,-0.24740787514019758,0.16622782871127129]"
260,"[0.09393219889274665,0.3125401008874178,0.2392464836261102,-0.11211378539779356,0.09590515494346619]"
262,"[0.18884890485141012,0.33777377299136585,0.20357054306401146,-0.21982984896749258,0.21095032555361587]"
263,"[0.2195069568697363,0.18821732536889613,0.11014997260645032,-0.1744260429404676,0.20521822292357683]"
264,"[0.0036470890045166016,0.1824816081672907,0.12277099993079901,-0.22791892960667612,0.12635147273540498]"
265,"[-0.05240690449459685,0.16526384165303573,0.12930206985523301,-0.06381176505237818,0.10100564686581492]"
266,"[0.023250075833251078,0.1568306756671518,0.15855015783260265,-0.0632599430779616,-0.07060726281876364]"
267,"[0.15895383059978485,0.3499680630862713,0.21289613395929338,-0.34577492177486424,0.22343405634164812]"
